"","Date","Set","Trophy","Colors","W","L","Format","Start Rank","End Rank"
"35","8/16/2021 15:43","KHM",NA,"BGr","0","3","QuickDraft","Mythic-1","Mythic-1"
"36","8/16/2021 15:15","KHM",NA,"UGb","0","3","QuickDraft","Mythic-1","Mythic-1"
"37","8/16/2021 14:23","KHM",NA,"UBG","2","3","QuickDraft","Mythic-1","Mythic-1"
"38","8/16/2021 13:08","KHM",NA,"UBRG","2","3","QuickDraft","Mythic-1","Mythic-1"
"39","8/14/2021 8:23","KHM",NA,"RGwub","5","3","QuickDraft","Mythic-1","Mythic-1"
"40","8/14/2021 7:22","AKR",NA,"WR","2","3","PremierDraft","Mythic-1","Mythic-1"
"41","8/14/2021 6:34","AKR",NA,"UBg","0","3","PremierDraft","Mythic-1","Mythic-1"
"42","8/14/2021 5:31","AKR",NA,"RG","2","3","PremierDraft","Mythic-1","Mythic-1"
"43","8/14/2021 3:28","AFR",NA,"BG","3","3","PremierDraft","Mythic-1","Mythic-1"
"44","8/13/2021 5:23","AFR",NA,"RG","2","3","PremierDraft","Mythic-1","Mythic-1"
"45","8/13/2021 4:22","AFR",NA,"RGw","1","3","PremierDraft","Mythic-1","Mythic-1"
"46","8/12/2021 18:16","AKR",NA,"WB","2","3","PremierDraft","Mythic-1","Mythic-1"
"47","8/11/2021 6:51","AFR",NA,"WG","2","3","PremierDraft","Mythic-1","Mythic-1"
"48","8/10/2021 5:09","AFR",NA,"BR","4","3","PremierDraft","Mythic-1","Mythic-1"
"49","8/10/2021 4:03","AFR",NA,"WG","2","3","PremierDraft","Mythic-1","Mythic-1"
"50","8/10/2021 2:58","AFR","x","RG","7","2","QuickDraft","Diamond-1","Mythic-1"
"51","8/10/2021 1:51","AFR",NA,"BRug","3","3","QuickDraft","Diamond-1","Diamond-1"
"52","8/9/2021 23:28","AFR",NA,"BRg","3","3","QuickDraft","Diamond-2","Diamond-1"
"53","8/9/2021 22:38","AFR",NA,"WB","3","3","PremierDraft","Diamond-2","Diamond-1"
"54","8/9/2021 21:59","AFR",NA,"RGw","0","3","PremierDraft","Diamond-1","Diamond-1"
"55","8/9/2021 21:03","AFR",NA,"RG","4","3","PremierDraft","Diamond-2","Diamond-1"
"56","8/9/2021 19:00","AFR",NA,"BRw","6","3","PremierDraft","Diamond-2","Diamond-2"
"57","8/9/2021 18:10","AFR",NA,"WGb","1","3","PremierDraft","Diamond-2","Diamond-2"
"58","8/8/2021 16:32","AFR",NA,"WGu","2","3","PremierDraft","Diamond-2","Diamond-2"
"59","8/7/2021 20:51","AFR",NA,"BR","2","3","PremierDraft","Diamond-2","Diamond-2"
"60","8/7/2021 19:30","AFR",NA,"WUg","1","3","PremierDraft","Diamond-1","Diamond-2"
"61","8/7/2021 18:06","AFR",NA,"WBg","4","3","PremierDraft","Diamond-2","Diamond-1"
"62","8/7/2021 16:34","AFR",NA,"WGbr","5","3","PremierDraft","Diamond-2","Diamond-2"
"63","8/7/2021 4:35","AFR","x","BR","7","2","PremierDraft","Diamond-3","Diamond-2"
"64","8/7/2021 3:33","AFR",NA,"RGw","3","3","PremierDraft","Diamond-3","Diamond-3"
"65","8/7/2021 2:17","AFR",NA,"BRwug","3","3","PremierDraft","Diamond-3","Diamond-3"
"66","8/7/2021 0:51","AFR",NA,"WB","4","3","PremierDraft","Diamond-3","Diamond-3"
"67","8/6/2021 23:14","AFR",NA,"WB","2","3","PremierDraft","Diamond-3","Diamond-3"
"68","8/6/2021 22:16","AFR",NA,"WG","0","3","PremierDraft","Diamond-3","Diamond-3"
"69","8/6/2021 21:36","AFR",NA,"BR","1","3","PremierDraft","Diamond-2","Diamond-2"
