Date,Set,Trophy,Colors,W/L,Format,Start Rank,End Rank,Shareable Links
8/5/2021 4:12,AFR,,WGb,1 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
8/4/2021 0:06,AFR,,WB,3 - 3,QuickDraft,Diamond-2,Diamond-2,"Pool, Deck 1, Details"
8/4/2021 0:02,AFR,,UB,0 - 0,QuickDraft,,,"Pool, Deck 1, Details"
8/3/2021 23:55,AFR,,UBw,0 - 0,QuickDraft,,,"Draft, Pool, Deck 1, Details"
8/3/2021 23:13,AFR,,WGbr,2 - 3,QuickDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
8/3/2021 22:31,AFR,,WR,2 - 3,QuickDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
8/3/2021 21:38,AFR,x,BR,7 - 0,QuickDraft,Diamond-3,Diamond-2,"Draft, Pool, Deck 1, Details"
8/3/2021 20:11,AFR,,UB,4 - 3,QuickDraft,Diamond-4,Diamond-3,"Draft, Pool, Deck 1, Details"
8/3/2021 19:21,AFR,,WB,2 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
8/3/2021 18:44,AFR,,RGb,2 - 3,QuickDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
8/3/2021 17:57,AFR,,BR,3 - 3,QuickDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
8/3/2021 16:55,AFR,,BR,4 - 3,QuickDraft,Diamond-4,Diamond-3,"Draft, Pool, Deck 1, Details"
8/3/2021 6:19,AFR,,BR,4 - 3,QuickDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
8/3/2021 5:16,AFR,,UGb,2 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
8/3/2021 3:59,AFR,,WGr,3 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Deck 2, Details"
8/3/2021 3:25,AFR,,WG,0 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
8/3/2021 2:08,AFR,,WBu,4 - 3,PremierDraft,Platinum-1,Diamond-4,"Draft, Pool, Deck 1, Details"
8/3/2021 0:59,AFR,,UR,4 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Details"
8/3/2021 0:15,AFR,,WR,3 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Details"
8/2/2021 23:14,AFR,,UGw,2 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Details"
8/2/2021 22:10,AFR,,WGb,2 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Details"
